names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,region,layer
Rpl37a,12.471167,13.689483,1.0724462511876548e-35,2.9095737159322214e-33,0.9767233661593554,Duodenum,Crypt SI
Romo1,12.449158,2.3859947,1.4132845691093007e-35,3.802324359474481e-33,0.7815577439570277,Duodenum,Crypt SI
Rps12,12.445025,34.325035,1.48837523366938e-35,3.971255737108755e-33,0.9928379588182632,Duodenum,Crypt SI
Slc25a3,12.441745,6.754993,1.5507817952263375e-35,4.103851660564123e-33,0.981199641897941,Duodenum,Crypt SI
Nadk2,12.423148,1.8862722,1.957067594597421e-35,5.1369046578518483e-33,0.666965085049239,Duodenum,Crypt SI
Pdia6,12.416588,2.126649,2.1242995773438656e-35,5.5308880527860244e-33,0.7976723366159355,Duodenum,Crypt SI
Tm4sf20,12.394875,2.169847,2.785814398365838e-35,7.195201428099286e-33,0.8155774395702775,Duodenum,Crypt SI
Alpi,12.377261,6.5904164,3.4698278454842976e-35,8.890745396147663e-33,0.9695613249776186,Duodenum,Crypt SI
Cyp2c66,12.340099,1.8408898,5.508798582662906e-35,1.400406001899779e-32,0.5953446732318711,Duodenum,Crypt SI
Calr,12.320518,2.7454593,7.024181481442626e-35,1.7716851494404312e-32,0.8836168307967771,Duodenum,Crypt SI
BC005537,12.30766,1.661714,8.237667498822737e-35,2.0616519007712562e-32,0.8889883616830797,Duodenum,Crypt SI
Manf,12.30215,2.3526893,8.819484887627285e-35,2.1902851507465145e-32,0.7690241718889884,Duodenum,Crypt SI
Gm14851,12.268596,5.383014,1.3354896062344982e-34,3.291319231853494e-32,0.5604297224709042,Duodenum,Crypt SI
Cyp3a13,12.25118,2.0221965,1.6557031168483554e-34,4.0495738732916023e-32,0.8415398388540735,Duodenum,Crypt SI
Gnb1,12.249671,2.6442134,1.6867954694650327e-34,4.094600882081096e-32,0.9059982094897046,Duodenum,Crypt SI
Rfk,12.248457,1.7195615,1.7122249097492985e-34,4.1253120306907533e-32,0.8057296329453895,Duodenum,Crypt SI
Vdac1,12.215165,2.402488,2.5797610329058847e-34,6.169450736841962e-32,0.8343777976723367,Duodenum,Crypt SI
Baiap2l2,12.190172,1.8497525,3.506797860496574e-34,8.324777126921463e-32,0.8513876454789615,Duodenum,Crypt SI
Ubc,12.175018,2.3353617,4.2229711871989005e-34,9.951724436402664e-32,0.8952551477170994,Duodenum,Crypt SI
Fth1,12.165736,36.239155,4.73158695056066e-34,1.1069513383974703e-31,1.0,Duodenum,Crypt SI
Gdi2,12.1605215,2.569555,5.043580301815711e-34,1.1714531657850376e-31,0.9042076991942704,Duodenum,Crypt SI
Rpl13a,12.148057,19.466696,5.874479770917957e-34,1.354696995743473e-31,0.9955237242614146,Duodenum,Crypt SI
Gorasp2,12.121457,1.8063922,8.13008360565641e-34,1.861558505025654e-31,0.6606982990152194,Duodenum,Crypt SI
Cox6a1,12.119883,8.337177,8.287778373125698e-34,1.8843022871574871e-31,0.9803043867502238,Duodenum,Crypt SI
Klf5,12.1147,2.4589405,8.828630400642586e-34,1.993233094298922e-31,0.9203222918531782,Duodenum,Crypt SI
Akr7a5,12.096989,1.7953064,1.095569953238005e-33,2.4562830514089576e-31,0.8102059086839749,Duodenum,Crypt SI
Rack1,12.095152,9.636504,1.1203513842624148e-33,2.4945203062697977e-31,0.9946284691136974,Duodenum,Crypt SI
Surf4,12.09384,2.1657205,1.1383925289719368e-33,2.5173289587574644e-31,0.864816472694718,Duodenum,Crypt SI
Ces2c,12.090626,2.1829777,1.1838221558529026e-33,2.599979476306868e-31,0.7896150402864817,Duodenum,Crypt SI
Rpl36,12.080064,9.697585,1.346151406294962e-33,2.9365201454211383e-31,0.9615040286481648,Duodenum,Crypt SI
Slc51a,12.069305,1.9427552,1.5342345810054527e-33,3.324346540118191e-31,0.7690241718889884,Duodenum,Crypt SI
Ppa1,12.053791,3.1464891,1.8522965172250513e-33,3.986759537240719e-31,0.9077887197851388,Duodenum,Crypt SI
Fam120a,12.047592,1.7651942,1.9969830376133407e-33,4.269708435056073e-31,0.7555953446732319,Duodenum,Crypt SI
Vcp,12.044771,2.6567736,2.066482875634964e-33,4.389236818412816e-31,0.8504923903312444,Duodenum,Crypt SI
H1f0,12.040475,4.3126135,2.1769922741923825e-33,4.593738272699416e-31,0.936436884512086,Duodenum,Crypt SI
Rpn2,12.039523,2.7673535,2.2022388299986743e-33,4.616836404318649e-31,0.8764547896150403,Duodenum,Crypt SI
Mgst2,12.021385,2.08704,2.7433303511755423e-33,5.714091637916284e-31,0.8048343777976723,Duodenum,Crypt SI
Epn1,11.999606,1.9356197,3.5698998485842344e-33,7.38809080843218e-31,0.8504923903312444,Duodenum,Crypt SI
Ctsb,11.972284,2.8273685,4.9642750624253874e-33,1.020838346435692e-30,0.9077887197851388,Duodenum,Crypt SI
Cox14,11.960115,2.3882864,5.7481785536266135e-33,1.1745566114166786e-30,0.7931960608773501,Duodenum,Crypt SI
Rad21,11.910457,1.7785623,1.0440338109487038e-32,2.1199139362565347e-30,0.7278424350940018,Duodenum,Crypt SI
Marc2,11.899535,5.4710426,1.1900869839022011e-32,2.40137239220516e-30,0.9838854073410922,Duodenum,Crypt SI
Cs,11.89655,2.5157049,1.233414935241494e-32,2.4733416884640767e-30,0.8845120859444942,Duodenum,Crypt SI
Psmd2,11.882676,1.7408242,1.4562970505047487e-32,2.9022561898485067e-30,0.7735004476275739,Duodenum,Crypt SI
Suclg2,11.857158,2.1459858,1.975684584353529e-32,3.913188761095318e-30,0.6741271262309758,Duodenum,Crypt SI
Muc2,11.839348,3.2094665,2.4434649130997608e-32,4.810199068257669e-30,0.9427036705461056,Duodenum,Crypt SI
Fam234a,11.8173065,1.9496365,3.17709398588372e-32,6.216513899045813e-30,0.8307967770814683,Duodenum,Crypt SI
Ldha,11.789165,8.062133,4.439250557481367e-32,8.633807484836503e-30,0.9883616830796778,Duodenum,Crypt SI
Hnrnpab,11.780636,3.0992627,4.912090279348275e-32,9.496217644835872e-30,0.8692927484333035,Duodenum,Crypt SI
Txndc5,11.778898,1.669888,5.014445230123568e-32,9.63639072943687e-30,0.6830796777081468,Duodenum,Crypt SI
Eif4g1,11.776372,1.8514762,5.166934058421115e-32,9.870678466042942e-30,0.7878245299910475,Duodenum,Crypt SI
Bsg,11.770927,3.603054,5.511516999496284e-32,1.046701919580809e-29,0.9695613249776186,Duodenum,Crypt SI
Papss2,11.766106,5.087554,5.835653726872398e-32,1.101778248959505e-29,0.9435989256938228,Duodenum,Crypt SI
Kdelr1,11.762006,1.761818,6.126122491921981e-32,1.149894561928495e-29,0.8227394807520143,Duodenum,Crypt SI
