Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,GPI Anchor Biosynthetic Process (GO:0006506),19/30,0.0055935189056734,0.0381520394454994,0,0,2.7304212974928923,14.16036537360679,PIGS;PIGT;PGAP2;PIGO;GPAA1;PGAP3;PIGN;PIGQ;SLC30A5;PIGP;DPM1;PIGC;DPM2;DPM3;PIGK;PIGM;MPPE1;PIGL;PIGG
GO_Biological_Process_2023,Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:0008625),19/30,0.0055935189056734,0.0381520394454994,0,0,2.7304212974928923,14.16036537360679,DDX3X;CRADD;DDX47;DIABLO;SORT1;TRADD;DAB2IP;DELE1;TNFRSF10B;GABARAP;ZDHHC3;DEDD2;TNFRSF1A;CASP8;BLOC1S2;BAX;FADD;BID;DEDD
GO_Biological_Process_2023,Response To Epidermal Growth Factor (GO:0070849),19/30,0.0055935189056734,0.0381520394454994,0,0,2.7304212974928923,14.16036537360679,MED1;STAT5B;PDPK1;SYAP1;PTPN11;IQGAP1;PTPN12;KNSTRN;ZFP36L2;ZFP36L1;EEF1A1;VIL1;ZFP36;ERBB2;TPR;INPP5K;MAPK1;MAPK3;ZPR1
GO_Biological_Process_2023,Cellular Nitrogen Compound Biosynthetic Process (GO:0044271),20/32,0.0055959216469237,0.0381520394454994,0,0,2.634742148119426,13.663027738035147,CYB5B;NQO1;ASAH1;ARG2;ASAH2;GCH1;SPHK2;SPHK1;ACER2;GCHFR;PM20D1;ACER1;CYB5R3;SPTLC1;SPR;SPTLC2;CPS1;ACER3;AKT1;SPTSSA
GO_Biological_Process_2023,Regulation Of Cholesterol Efflux (GO:0010874),20/32,0.0055959216469237,0.0381520394454994,0,0,2.634742148119426,13.663027738035147,ABCA2;LRP1;NAXE;ABCA3;CAV1;NR1H2;PTCH1;APOA1;NR1H3;ABCA7;SIRT1;SREBF2;TTC39B;NFKBIA;EEPD1;RXRA;PLA2G10;PPARG;APOE;LAMTOR1
GO_Biological_Process_2023,Protein Autophosphorylation (GO:0046777),79/162,0.0060013677827966,0.0404456913382784,0,0,1.5074206699159232,7.711614232645767,DDR1;GSK3B;SMG1;FLT1;STK11;EEF2K;RB1CC1;STK16;KDR;PIM1;AKT1;PIM3;RIOK2;JAK2;EPHB4;HTATIP2;PDGFRB;PDGFRA;MAP2K2;RIPK3;PDPK1;DAPK2;DYRK1A;LMTK2;VRK1;OXSR1;ATG13;UHMK1;HCK;PEAK1;MAPKAPK2;ULK3;MAPKAPK5;PRKD2;ULK1;TNIK;EPHA1;CSF1R;CAMK2D;SRC;STK39;ACVR1B;AURKB;PAK1;IRAK1;ATG101;ERBB2;MKNK2;ABL1;MAP3K21;PTK2B;RIPK1;FYN;MARK3;PAK2;MARK2;MAPK3;LYN;INSR;NEK6;TNK1;EIF2AK3;EIF2AK2;PTK2;MTOR;CLK2;PIKFYVE;PINK1;STK24;TAOK3;STK25;WNK2;STK17B;TAOK1;TAOK2;FGFR3;FGFR2;MAP3K11;TAF1
GO_Biological_Process_2023,Endoplasmic Reticulum Mannose Trimming (GO:1904380),10/13,0.006008986547131,0.0404456913382784,0,0,5.266554795404673,26.935790142599178,EDEM3;RNF103;RNF139;EDEM1;EDEM2;SYVN1;MAN1B1;RNF5;RNF185;UGGT1
GO_Biological_Process_2023,Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900102),10/13,0.006008986547131,0.0404456913382784,0,0,5.266554795404673,26.935790142599178,PPP1R15B;UFL1;ATF6B;HSPA5;WFS1;DDRGK1;NCK2;RACK1;DNAJB9;BFAR
GO_Biological_Process_2023,Peptidyl-Methionine Modification (GO:0018206),10/13,0.006008986547131,0.0404456913382784,0,0,5.266554795404673,26.935790142599178,NAA60;LSM8;NAA30;NAA20;APOA2;NAA35;PFDN1;NAA15;METAP1;METAP2
GO_Biological_Process_2023,Protein Localization To Phagophore Assembly Site (GO:0034497),10/13,0.006008986547131,0.0404456913382784,0,0,5.266554795404673,26.935790142599178,PACS2;WDR45B;LRBA;ATG9A;ATG4B;MFN2;WIPI2;WDR45;ATG13;ATG4D
GO_Biological_Process_2023,Regulation Of IRE1-mediated Unfolded Protein Response (GO:1903894),10/13,0.006008986547131,0.0404456913382784,0,0,5.266554795404673,26.935790142599178,UFL1;COPS5;HSPA5;DDRGK1;TMEM33;DAB2IP;BAX;DNAJB9;BFAR;BAK1
GO_Biological_Process_2023,Regulation Of Transcription Of Nucleolar Large rRNA By RNA Polymerase I (GO:1901836),10/13,0.006008986547131,0.0404456913382784,0,0,5.266554795404673,26.935790142599178,IPPK;SMARCB1;PIH1D1;NCL;SIRT7;NOL11;PWP1;NOP53;MTOR;SMARCA4
GO_Biological_Process_2023,Sphingoid Biosynthetic Process (GO:0046520),10/13,0.006008986547131,0.0404456913382784,0,0,5.266554795404673,26.935790142599178,ACER2;ACER1;ASAH1;ASAH2;SPTLC1;SPTLC2;SPHK2;SPHK1;ACER3;SPTSSA
GO_Biological_Process_2023,Sphingosine Biosynthetic Process (GO:0046512),10/13,0.006008986547131,0.0404456913382784,0,0,5.266554795404673,26.935790142599178,ACER2;ACER1;ASAH1;ASAH2;SPTLC1;SPTLC2;SPHK2;SPHK1;ACER3;SPTSSA
GO_Biological_Process_2023,Spliceosomal tri-snRNP Complex Assembly (GO:0000244),10/13,0.006008986547131,0.0404456913382784,0,0,5.266554795404673,26.935790142599178,TSSC4;PRPF6;SART3;USP4;CD2BP2;PRPF31;PRPF19;PRPF8;SRSF10;LSM2
