Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,analysis
GO_Biological_Process_2023,Platelet Dense Granule Organization (GO:0060155),7/22,5.7292276172848594e-05,0.0075325702149159,0,0,9.164600550964188,89.51381298213079,AP3M1;BLOC1S1;BLOC1S2;AP3D1;AP1S1;HPS5;AP1M1,Ileum-specific tip markers
GO_Cellular_Component_2023,Peroxisome (GO:0005777),16/129,0.000544247105784405,0.007918795389163,0,0,2.792289165520869,20.987144633514674,ATAD1;NOS2;ECI2;MUL1;TTC1;MIEF1;BAAT;DHRS4;MAVS;NUDT7;PMVK;PXMP4;HACL1;PEX11G;CRYM;NUDT12,Ileum-specific tip markers
GO_Biological_Process_2023,acetyl-CoA Metabolic Process (GO:0006084),6/16,6.9416605794667e-05,0.0087117840272307,0,0,11.773993808049536,112.74051713561086,NUDT7;HMGCS1;PPCS;PMVK;DIP2A;ACSS1,Ileum-specific tip markers
GO_Biological_Process_2023,Protein N-linked Glycosylation Via Asparagine (GO:0018279),7/23,7.890531199816862e-05,0.0094720681055192,0,0,8.591361053719009,81.16483886841108,DPM1;RPN2;DAD1;OSTC;MAGT1;STT3B;NUDT14,Ileum-specific tip markers
GO_Biological_Process_2023,Secretory Granule Organization (GO:0033363),7/25,0.0001420310788571482,0.016339492030191,0,0,7.63596189164371,67.65053451739936,AP3M1;BLOC1S1;BLOC1S2;AP3D1;AP1S1;HPS5;AP1M1,Ileum-specific tip markers
GO_Cellular_Component_2023,Mitochondrial Matrix (GO:0005759),31/355,0.0012880075274779,0.0178481043093369,0,0,1.8954377223268464,12.613491332005962,ISCA2;MRPL18;ETFDH;ARL2;ABAT;ETFB;MRPL34;AUH;ALDH2;BLOC1S1;OXCT1;ACP6;ME3;ACADM;ACSS1;ACADS;IDH3A;DNAJC19;ARG2;FAHD1;MTERF2;TRNT1;SOD2;CLPX;PDP1;NDUFS8;POLG2;ETHE1;NDUFAB1;SUCLG1;NAGS,Ileum-specific tip markers
GO_Biological_Process_2023,Cristae Formation (GO:0042407),5/12,0.00016193366776361015,0.0178839542678131,0,0,14.00441826215022,122.23509673017485,CHCHD3;UQCC3;IMMT;MICOS13;MICOS10,Ileum-specific tip markers
GO_Cellular_Component_2023,Cytoplasmic Vesicle Lumen (GO:0060205),14/115,0.0014177048771669,0.0179370486632863,0,0,2.729582427545564,17.902555937176544,PSMD12;VCP;PSMD14;MAPK14;APRT;EEF1A1;PSMA5;PSMB7;PSMD6;PSMC3;PSMA2;GHRL;ALDOA;PAFAH1B2,Ileum-specific tip markers
GO_Cellular_Component_2023,TRAPPIII Protein Complex (GO:1990072),4/11,0.0014061024547586,0.0179370486632863,0,0,11.191996469030457,73.49709787146716,TRAPPC2;TRAPPC3;TRAPPC6A;TRAPPC5,Ileum-specific tip markers
GO_Biological_Process_2023,ATP Synthesis Coupled Electron Transport (GO:0042773),4/7,0.00017452926103447055,0.01853005088456,0,0,26.120151047030557,226.0285890301287,NDUFB6;NDUFA12;NDUFV3;NDUFV1,Ileum-specific tip markers
GO_Biological_Process_2023,Inner Mitochondrial Membrane Organization (GO:0007007),8/34,0.00018120658235534984,0.01853005088456,0,0,6.045342454856415,52.085901856535294,TIMM8B;APOO;CHCHD3;UQCC3;IMMT;ROMO1;MICOS13;MICOS10,Ileum-specific tip markers
GO_Biological_Process_2023,Cellular Response To Amino Acid Stimulus (GO:0071230),8/35,0.00022494854707407304,0.0221815335168398,0,0,5.82113447470221,48.895427352202375,RPTOR;XBP1;RRAGA;SESN2;KLHL22;LAMTOR4;LAMTOR3;LAMTOR5,Ileum-specific tip markers
GO_Biological_Process_2023,Cellular Response To Acid Chemical (GO:0071229),7/27,0.00024090289246237836,0.0229356167616767,0,0,6.871642561983471,57.24845570268211,RPTOR;XBP1;RRAGA;SESN2;LAMTOR4;LAMTOR3;LAMTOR5,Ileum-specific tip markers
GO_Cellular_Component_2023,MIB Complex (GO:0140275),4/12,0.0020281898775142,0.0236081301742662,0,0,9.792481977342945,60.71937704450155,CHCHD3;IMMT;MICOS13;MICOS10,Ileum-specific tip markers
GO_Cellular_Component_2023,SAM Complex (GO:0001401),4/12,0.0020281898775142,0.0236081301742662,0,0,9.792481977342945,60.71937704450155,CHCHD3;IMMT;MICOS13;MICOS10,Ileum-specific tip markers
GO_Cellular_Component_2023,Microbody Lumen (GO:0031907),8/49,0.0023589640091826,0.0254243898767465,0,0,3.830605089918531,23.173370888174023,NUDT7;NOS2;ECI2;HACL1;BAAT;CRYM;NUDT12;DHRS4,Ileum-specific tip markers
GO_Cellular_Component_2023,Peroxisomal Matrix (GO:0005782),8/49,0.0023589640091826,0.0254243898767465,0,0,3.830605089918531,23.173370888174023,NUDT7;NOS2;ECI2;HACL1;BAAT;CRYM;NUDT12;DHRS4,Ileum-specific tip markers
GO_Biological_Process_2023,Sterol Biosynthetic Process (GO:0016126),7/28,0.00030779056316745153,0.0283269914968444,0,0,6.5440771349862255,52.916003198371904,SQLE;NSDHL;HMGCS1;GLB1;PMVK;MSMO1;FDFT1,Ileum-specific tip markers
GO_Cellular_Component_2023,Clathrin Coat Of trans-Golgi Network Vesicle (GO:0030130),4/13,0.0028173470996001,0.029280285927987,0,0,8.703970706030438,51.10936418552743,AP1S1;AP2A1;AP1M2;AP1M1,Ileum-specific tip markers
GO_Biological_Process_2023,Melanosome Organization (GO:0032438),8/37,0.00033843744024540136,0.0301427668554049,0,0,5.419106372356738,43.30500729995091,BLOC1S4;AP3M1;BLOC1S1;BLOC1S2;AP3D1;AP1S1;HPS5;AP1M1,Ileum-specific tip markers
GO_Biological_Process_2023,Mitochondrion Organization (GO:0007005),19/162,0.000354589946159276,0.030594463792055,0,0,2.6242648564824296,20.848599474703363,DNAJC19;ATPAF2;TIMM8B;MIGA2;VPS13D;MUL1;CHCHD10;MIEF1;TOMM22;CHCHD4;CHCHD3;WDR81;MFN1;TOMM7;BAX;BID;SLC25A4;RAB5IF;ATPAF1,Ileum-specific tip markers
GO_Cellular_Component_2023,trans-Golgi Network Membrane (GO:0032588),12/100,0.003407790053727,0.0341954105391235,0,0,2.6815349759275,15.235653878656784,TEPSIN;SLC30A6;ATP7B;VPS51;COG4;TMEM79;COG2;VTI1A;AP1S1;SCAMP3;AP1M2;AP1M1,Ileum-specific tip markers
GO_Cellular_Component_2023,Lytic Vacuole Membrane (GO:0098852),25/287,0.0037335387645159,0.0344963475522892,0,0,1.8845922057051023,10.535621938649346,ABCB6;ATRAID;RPTOR;AP3M1;PIP4P2;BLOC1S1;AP1S1;ATP6V0E2;ATP6V1C1;AP1M2;AP1M1;ATP6AP2;AP3D1;LNPEP;MCOLN1;TMEM175;RMC1;RRAGA;CLCN4;WDR81;TMEM79;LAMTOR4;UBA52;LAMTOR3;LAMTOR5,Ileum-specific tip markers
