group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Top villous SI,F11r,99.648926,3.0575988,0.0,0.0,0.9550306885166204,0.7810938209904589
Top villous SI,Fosl2,99.4796,2.3445017,0.0,0.0,0.7657747078007576,0.4807473875511131
Top villous SI,Plbd1,99.46805,2.6134577,0.0,0.0,0.8847610752121863,0.6505281690140845
Top villous SI,Pxdc1,99.41578,2.4911041,0.0,0.0,0.6943504770393177,0.3630168105406633
Top villous SI,Arf4,99.41099,3.2202082,0.0,0.0,0.959021208499605,0.7904929577464789
Top villous SI,Man1a,99.410126,2.2475584,0.0,0.0,0.8733769522150424,0.606627669241254
Top villous SI,Ugdh,99.33167,5.4500537,0.0,0.0,0.9774545749184678,0.7959450249886415
Top villous SI,Arf6,99.3097,2.2318912,0.0,0.0,0.8319727753357506,0.5634086778736938
Top villous SI,Tgoln1,99.20544,2.163877,0.0,0.0,0.8770838819454291,0.6161687869150386
Top villous SI,Cldn7,99.03213,19.205156,0.0,0.0,0.999250511475277,0.9943491594729669
Top villous SI,Ahcyl2,98.87553,2.585295,0.0,0.0,0.9094739400814309,0.6813380281690141
Top villous SI,Ctsb,98.84193,6.3332686,0.0,0.0,0.9945510158607977,0.9266526578827805
Top villous SI,Gpx4,98.785934,17.206512,0.0,0.0,0.9993315372617335,0.9676283507496592
Top villous SI,Gsto1,98.68488,8.543097,0.0,0.0,0.9946928109870966,0.9246649250340754
Top villous SI,Lgals3bp,98.68051,2.9796872,0.0,0.0,0.9352603966212247,0.7501987732848705
Top villous SI,Fam102a,98.65758,2.1721475,0.0,0.0,0.7630603439544635,0.4751533393911858
Top villous SI,Noct,98.598495,2.6178086,0.0,0.0,0.6049992910243686,0.25752498864152656
Top villous SI,Cyp2j6,98.44991,5.0621257,0.0,0.0,0.9601555695099966,0.7562187641980918
Top villous SI,Pi4k2b,98.44413,2.299249,0.0,0.0,0.877205420625114,0.624574057246706
Top villous SI,Ell2,98.34273,2.1385732,0.0,0.0,0.7084692203293699,0.3905895047705588
Top villous SI,B4galt6,98.33191,2.116535,0.0,0.0,0.8405615087001438,0.5644309404815993
Top villous SI,Gipc2,98.2693,3.2453258,0.0,0.0,0.956772742925436,0.7692810086324398
Top villous SI,Gramd1b,98.183136,2.4107924,0.0,0.0,0.6187534182753661,0.27209223080417994
Top villous SI,Amn,98.15659,2.5766096,0.0,0.0,0.8311827739177994,0.5625567923671059
Top villous SI,D5Ertd579e,98.15579,2.150399,0.0,0.0,0.7991370753742378,0.5015333939118582
Top villous SI,Ppp1r15b,98.139244,2.0544055,0.0,0.0,0.8434581805659651,0.5852737392094502
Top villous SI,Gtpbp2,98.048615,2.0955985,0.0,0.0,0.7648226548098932,0.47714107223989094
Top villous SI,Pfn1,97.99977,7.0632515,0.0,0.0,0.9930317823647375,0.9265958655156747
Top villous SI,H2-Q1,97.97917,2.3038635,0.0,0.0,0.8533635829602771,0.5229441163107679
Top villous SI,Pcyt1a,97.88113,2.1191506,0.0,0.0,0.8002714363846294,0.5070706497046797
Top villous SI,Misp,97.782555,4.4931664,0.0,0.0,0.9778394474041364,0.888090640617901
Top villous SI,Abcg8,97.75541,2.4794776,0.0,0.0,0.9147608726477201,0.6632212630622444
Top villous SI,Glrx,97.66651,11.384112,0.0,0.0,0.9934369112970203,0.8813607451158564
Top villous SI,Nucb1,97.42713,2.6416647,0.0,0.0,0.9298924382684789,0.7430997273966379
Top villous SI,Mxi1,97.35107,2.0175831,0.0,0.0,0.7950250167115684,0.4875908677873694
Top villous SI,Slc28a2,97.31582,6.6015863,0.0,0.0,0.5363501934490652,0.1938323489323035
Top villous SI,Sdcbp2,97.29239,2.8702679,0.0,0.0,0.8951728887718516,0.6521183552930486
Top villous SI,Itprid2,97.279305,2.3224335,0.0,0.0,0.6752891607754168,0.35642889595638344
Top villous SI,Surf4,97.203186,4.1589284,0.0,0.0,0.9846456134664857,0.8693491594729669
Top villous SI,S100a6,96.93695,13.9472475,0.0,0.0,0.9650576295906172,0.8563437074057246
Top villous SI,Lgmn,96.85997,2.262107,0.0,0.0,0.774100107359167,0.47770899591094956
Top villous SI,C77080,96.84668,2.599441,0.0,0.0,0.9427147689752263,0.759796683325761
Top villous SI,Prkcd,96.79714,2.4720597,0.0,0.0,0.927036279295886,0.7353475692866879
Top villous SI,Nuak2,96.75154,2.1974096,0.0,0.0,0.7029189539570968,0.3899079963652885
Top villous SI,Cd55,96.7503,2.5553567,0.0,0.0,0.6280106143780259,0.29469559291231257
Top villous SI,Ctsd,96.70982,2.7789505,0.0,0.0,0.9511617072133206,0.7783961835529305
Top villous SI,Abhd12,96.70947,2.117716,0.0,0.0,0.8605951344015232,0.5938209904588824
Top villous SI,Muc2,96.58274,17.501715,0.0,0.0,0.9973666619401624,0.9768855065879146
Top villous SI,Sult2b1,96.46869,3.3855748,0.0,0.0,0.9556586383616587,0.7382155838255339
Top villous SI,Slc5a4b,96.46857,3.4409783,0.0,0.0,0.904085725282071,0.6333200817810086
Top villous SI,Mep1a,96.46214,8.902343,0.0,0.0,0.8939980148682318,0.7202975920036347
Top villous SI,Pdlim2,96.34678,2.714574,0.0,0.0,0.635242165819272,0.3052873693775557
Top villous SI,Tor1aip2,96.31239,2.4308715,0.0,0.0,0.9271578179755707,0.7241878691503862
Top villous SI,Eif6,96.23043,3.9061215,0.0,0.0,0.9760568801020925,0.8715356656065425
