Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,analysis
GO_Biological_Process_2023,Actin Nucleation (GO:0045010),8/23,0.0036308473844847,0.038789123712734,0,0,3.979330792037272,22.35703128652837,ACTR3;ARPC2;ARPC1B;ARPC1A;WIPF3;ARPC4;ARPC5;IQGAP2,Conserved Top Villous SI markers
GO_Biological_Process_2023,Regulation Of Centrosome Cycle (GO:0046605),8/23,0.0036308473844847,0.038789123712734,0,0,3.979330792037272,22.35703128652837,PDCD6IP;VPS4B;CHMP1B;CHMP1A;CHMP2B;CHMP4C;CHMP3;CHMP5,Conserved Top Villous SI markers
GO_Biological_Process_2023,Diacylglycerol Metabolic Process (GO:0046339),8/23,0.0036308473844847,0.038789123712734,0,0,3.979330792037272,22.35703128652837,LIPE;DGAT2;DGKD;DGAT1;MOGAT2;DGKA;DGKQ;PNPLA2,Conserved Top Villous SI markers
GO_Biological_Process_2023,Negative Regulation Of Type I Interferon Production (GO:0032480),11/38,0.0035939067882371,0.038789123712734,0,0,3.04156064461408,17.119471008356165,ILRUN;YY1;ITCH;TYROBP;RNF216;CUL3;REL;XAF1;ATG12;RELB;ATG5,Conserved Top Villous SI markers
GO_Biological_Process_2023,Positive Regulation Of Cell-Substrate Junction Organization (GO:0150117),8/23,0.0036308473844847,0.038789123712734,0,0,3.979330792037272,22.35703128652837,ROCK1;KDR;NRG1;PTPRJ;RAC1;VEGFA;ARF6;S100A10,Conserved Top Villous SI markers
GO_Biological_Process_2023,Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209),11/38,0.0035939067882371,0.038789123712734,0,0,3.04156064461408,17.119471008356165,NFKBIA;PLVAP;CHUK;STAT1;TRADD;TMSB4X;RIPK1;FOXO3;JAK2;TNFRSF1A;BIRC3,Conserved Top Villous SI markers
GO_Cellular_Component_2023,Mitochondrial Outer Membrane (GO:0005741),28/151,0.0105478292360426,0.0388547587164428,0,0,1.7025036205082256,7.749515907698489,ATF2;BECN1;SLC44A1;FOXO3;PGRMC1;CYB5R3;CASP8;UBB;RAC2;PMAIP1;BAK1;SLC18A1;MCL1;BOK;CYB5B;BNIP3L;FIS1;AOC1;RSAD2;RMDN3;ACSL3;SYNJ2BP;RHOD;PINK1;ZNFX1;VDAC2;KRAS;BCL2L1,Conserved Top Villous SI markers
GO_Cellular_Component_2023,Desmosome (GO:0030057),6/17,0.0106590180854215,0.0388677326145169,0,0,4.067248874697034,18.47079651447457,DSP;JUP;KAZN;DSG2;PKP4;DSC2,Conserved Top Villous SI markers
GO_Biological_Process_2023,Negative Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043537),10/33,0.0037604599926772,0.0397044829600661,0,0,3.245295537902944,18.11917945080309,DLL4;JUP;PDCD10;GADD45A;NRG1;PPARG;APOE;KLF4;THBS1;RHOA,Conserved Top Villous SI markers
GO_Biological_Process_2023,Regulation Of Sprouting Angiogenesis (GO:1903670),10/33,0.0037604599926772,0.0397044829600661,0,0,3.245295537902944,18.11917945080309,CEACAM1;SEMA6A;PKM;CEMIP2;KLF4;SYNJ2BP;THBS1;EPN1;JAK1;VEGFA,Conserved Top Villous SI markers
GO_Biological_Process_2023,Negative Regulation Of Endocytosis (GO:0045806),10/33,0.0037604599926772,0.0397044829600661,0,0,3.245295537902944,18.11917945080309,SCAMP5;SNX3;LGALS3;PLSCR1;NR1H2;APOC2;APOC3;RAC1;ARF6;PICALM,Conserved Top Villous SI markers
GO_Biological_Process_2023,Positive Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903749),10/33,0.0037604599926772,0.0397044829600661,0,0,3.245295537902944,18.11917945080309,SH3GLB1;GSK3A;MAPK8;PINK1;UBE2D3;RAC2;GZMB;RHOU;UBE2J2;ATG13,Conserved Top Villous SI markers
GO_Biological_Process_2023,Positive Regulation Of Small Molecule Metabolic Process (GO:0062013),10/33,0.0037604599926772,0.0397044829600661,0,0,3.245295537902944,18.11917945080309,APP;INSR;PRKCE;PMAIP1;APOA1;IRS2;PSEN1;APOE;HIF1A;SLC4A4,Conserved Top Villous SI markers
GO_Biological_Process_2023,Negative Regulation Of Cell Adhesion (GO:0007162),17/72,0.003812048888581,0.0399690230336375,0,0,2.309771181199753,12.864474935351366,CD164;SEMA6A;DUSP1;FZD7;MIA3;NRG1;FBLN1;SPINT2;CX3CL1;RHOA;ERBB3;CDH1;DACT2;PLXNA2;PLXNB2;TGFBI;B4GALNT2,Conserved Top Villous SI markers
GO_Biological_Process_2023,Golgi To Plasma Membrane Protein Transport (GO:0043001),9/28,0.0037995160705997,0.0399690230336375,0,0,3.5349687778768955,19.69996235346837,RAB10;GOLGA4;GOLPH3;SYS1;RAB31;GCC2;ANK3;SPTBN1;OPTN,Conserved Top Villous SI markers
GO_Biological_Process_2023,Cellular Response To Hypoxia (GO:0071456),17/72,0.003812048888581,0.0399690230336375,0,0,2.309771181199753,12.864474935351366,BNIP3L;PLK3;EGLN3;EPAS1;GATA6;AQP3;HIF1A;SIRT2;AQP1;HIPK2;VEGFA;PINK1;PGK1;MDM2;PMAIP1;PPARG;P4HB,Conserved Top Villous SI markers
